route_id,service_id,shape_id,trip_headsign,trip_id
12785,1,12785,,CE1690020.2.12785
12785,1,12785,,CE1690020.4.12785
12785,1,12785,,CE1690021.1.12785
12785,1,12785,,CE1690021.3.12785
12785,1,12785,,CE1690021.5.12785
12785,1,12785,,CE1690022.2.12785
12785,1,12785,,CE1690022.4.12785
12785,1,12785,,CE1690022.6.12785
12785,1,12785,,CE1690023.1.12785
12785,1,12785,,CE1690023.3.12785
12785,1,12785,,CE1690023.5.12785
12785,1,12785,,CE1690023.7.12785
12785,1,12785,,CE1690024.2.12785
12785,1,12785,,CE1690025.2.12785
12785,1,12785,,CE1690025.4.12785
12785,1,12785,,CE1690026.1.12785
12785,1,12785,,CE1690026.3.12785
12785,1,12785,,CE1690026.5.12785
12785,1,12785,,CE1690027.2.12785
12785,1,12785,,CE1690028.1.12785
12785,1,12785,,CE1690028.3.12785
12785,1,12785,,CE1690028.5.12785
12785,1,12785,,CE1690029.2.12785
12785,1,12785,,CE1690029.4.12785
12785,1,12785,,CE1690030.2.12785
12785,1,12785,,CE1690031.2.12785
12785,1,12785,,CE1690032.2.12785
12785,1,12785,,CE1690032.4.12785
12785,2,12785,,CE16A0001.1.12785
12785,2,12785,,CE16A0001.3.12785
12785,2,12785,,CE16A0001.5.12785
12785,2,12785,,CE16A0001.7.12785
12785,2,12785,,CE16A0002.2.12785
12785,2,12785,,CE16A0002.4.12785
12785,2,12785,,CE16A0002.6.12785
12785,2,12785,,CE16A0003.1.12785
12785,2,12785,,CE16A0003.3.12785
12785,2,12785,,CE16A0003.5.12785
12785,2,12785,,CE16A0004.2.12785
12785,2,12785,,CE16A0004.4.12785
12785,2,12785,,CE16A0004.6.12785
12785,2,12785,,CE16A0005.1.12785
12785,2,12785,,CE16A0005.3.12785
12785,2,12785,,CE16A0005.5.12785
12785,2,12785,,CE16A0005.7.12785
12785,2,12785,,CE16A0006.2.12785
12785,2,12785,,CE16A0006.4.12785
12785,2,12785,,CE16A0006.6.12785
12785,2,12785,,CE16A0007.1.12785
12785,2,12785,,CE16A0007.3.12785
12785,2,12785,,CE16A0007.5.12785
12785,2,12785,,CE16A0007.7.12785
12785,2,12785,,CE16A0008.2.12785
12785,2,12785,,CE16A0008.4.12785
12785,2,12785,,CE16A0009.1.12785
12785,2,12785,,CE16A0009.3.12785
12785,2,12785,,CE16A0009.5.12785
12785,2,12785,,CE16A0010.2.12785
12785,2,12785,,CE16A0010.4.12785
12785,2,12785,,CE16A0010.6.12785
12785,2,12785,,CE16A0011.1.12785
12785,2,12785,,CE16A0011.3.12785
12785,2,12785,,CE16A0011.5.12785
12785,2,12785,,CE16A0012.2.12785
12785,2,12785,,CE16A0012.4.12785
12785,2,12785,,CE16A0012.6.12785
12785,2,12785,,CE16A0013.1.12785
12785,2,12785,,CE16A0013.3.12785
12785,2,12785,,CE16A0013.5.12785
12785,2,12785,,CE16A0013.7.12785
12785,2,12785,,CE16A0014.2.12785
12785,2,12785,,CE16A0014.4.12785
12785,2,12785,,CE16A0015.1.12785
12785,2,12785,,CE16A0015.3.12785
12785,2,12785,,CE16A0015.5.12785
12785,2,12785,,CE16A0016.2.12785
12785,2,12785,,CE16A0016.4.12785
12785,2,12785,,CE16A0016.6.12785
12785,2,12785,,CE16A0017.1.12785
12785,2,12785,,CE16A0017.3.12785
12785,2,12785,,CE16A0017.5.12785
12785,2,12785,,CE16A0018.2.12785
12785,2,12785,,CE16A0018.4.12785
12785,2,12785,,CE16A0018.6.12785
12785,2,12785,,CE16A0019.1.12785
12785,2,12785,,CE16A0019.3.12785
12785,2,12785,,CE16A0019.5.12785
12785,2,12785,,CE16A0020.2.12785
12785,2,12785,,CE16A0020.4.12785
12785,2,12785,,CE16A0021.2.12785
12785,2,12785,,CE16A0021.4.12785
12785,2,12785,,CE16A0021.6.12785
12785,2,12785,,CE16A0022.2.12785
12785,2,12785,,CE16A0022.4.12785
12785,4,12785,,CE16B0001.1.12785
12785,4,12785,,CE16B0001.3.12785
12785,4,12785,,CE16B0001.5.12785
12785,4,12785,,CE16B0001.7.12785
12785,4,12785,,CE16B0002.2.12785
12785,4,12785,,CE16B0002.4.12785
12785,4,12785,,CE16B0002.6.12785
12785,4,12785,,CE16B0003.2.12785
12785,4,12785,,CE16B0003.4.12785
12785,4,12785,,CE16B0003.6.12785
12785,4,12785,,CE16B0004.1.12785
12785,4,12785,,CE16B0004.3.12785
12785,4,12785,,CE16B0004.5.12785
12785,4,12785,,CE16B0004.7.12785
12785,4,12785,,CE16B0005.2.12785
12785,4,12785,,CE16B0005.4.12785
12785,4,12785,,CE16B0005.6.12785
12785,4,12785,,CE16B0006.1.12785
12785,4,12785,,CE16B0006.3.12785
12785,4,12785,,CE16B0006.5.12785
12785,4,12785,,CE16B0007.2.12785
12785,4,12785,,CE16B0007.4.12785
12785,4,12785,,CE16B0007.6.12785
12785,4,12785,,CE16B0008.2.12785
12785,4,12785,,CE16B0008.4.12785
12785,4,12785,,CE16B0009.2.12785
12785,4,12785,,CE16B0009.4.12785
12785,4,12785,,CE16B0010.1.12785
12785,4,12785,,CE16B0010.3.12785
12785,4,12785,,CE16B0010.5.12785
12785,4,12785,,CE16B0011.2.12785
12785,4,12785,,CE16B0011.4.12785
12786,1,12786,,CE1690001.2.12786
12786,1,12786,,CE1690001.4.12786
12786,1,12786,,CE1690001.6.12786
12786,1,12786,,CE1690002.1.12786
12786,1,12786,,CE1690002.3.12786
12786,1,12786,,CE1690002.5.12786
12786,1,12786,,CE1690002.7.12786
12786,1,12786,,CE1690003.1.12786
12786,1,12786,,CE1690003.3.12786
12786,1,12786,,CE1690004.2.12786
12786,1,12786,,CE1690004.4.12786
12786,1,12786,,CE1690004.6.12786
12786,1,12786,,CE1690005.1.12786
12786,1,12786,,CE1690005.3.12786
12786,1,12786,,CE1690005.5.12786
12786,1,12786,,CE1690006.2.12786
12786,1,12786,,CE1690006.4.12786
12786,1,12786,,CE1690006.6.12786
12786,1,12786,,CE1690007.1.12786
12786,1,12786,,CE1690007.3.12786
12786,1,12786,,CE1690007.5.12786
12786,1,12786,,CE1690007.7.12786
12786,1,12786,,CE1690008.2.12786
12786,1,12786,,CE1690008.4.12786
12786,1,12786,,CE1690008.6.12786
12786,1,12786,,CE1690009.1.12786
12786,1,12786,,CE1690009.3.12786
12786,1,12786,,CE1690010.2.12786
12786,1,12786,,CE1690010.4.12786
12786,1,12786,,CE1690011.1.12786
12786,1,12786,,CE1690011.3.12786
12786,1,12786,,CE1690011.5.12786
12786,1,12786,,CE1690012.2.12786
12786,1,12786,,CE1690012.4.12786
12786,1,12786,,CE1690013.1.12786
12786,1,12786,,CE1690013.3.12786
12786,1,12786,,CE1690014.2.12786
12786,1,12786,,CE1690014.4.12786
12786,1,12786,,CE1690014.6.12786
12786,1,12786,,CE1690015.1.12786
12786,1,12786,,CE1690015.3.12786
12786,1,12786,,CE1690016.1.12786
12786,1,12786,,CE1690016.3.12786
12786,1,12786,,CE1690016.5.12786
12786,1,12786,,CE1690017.2.12786
12786,1,12786,,CE1690017.4.12786
12786,1,12786,,CE1690018.1.12786
12786,1,12786,,CE1690018.3.12786
12786,1,12786,,CE1690019.2.12786
12786,1,12786,,CE1690019.4.12786
12786,1,12786,,CE1690020.1.12786
12786,1,12786,,CE1690020.3.12786
12786,1,12786,,CE1690020.5.12786
12786,1,12786,,CE1690021.2.12786
12786,1,12786,,CE1690021.4.12786
12786,1,12786,,CE1690022.1.12786
12786,1,12786,,CE1690022.3.12786
12786,1,12786,,CE1690022.5.12786
12786,1,12786,,CE1690023.2.12786
12786,1,12786,,CE1690023.4.12786
12786,1,12786,,CE1690023.6.12786
12786,1,12786,,CE1690024.1.12786
12786,1,12786,,CE1690024.3.12786
12786,1,12786,,CE1690025.1.12786
12786,1,12786,,CE1690025.3.12786
12786,1,12786,,CE1690025.5.12786
