agency_id,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type
2,00ff00,11055,Metrovivienda ||  Portal Américas,9-2,ffffff,3
2,00ff00,11057,Metrovivienda ||  Portal Américas,9-2,ffffff,3
2,00ff00,11083,Cortijo ||  Portal 80,1-4,ffffff,3
2,00ff00,11084,Ciudadela Colsubsidio ||  Portal 80,1-5,ffffff,3
2,00ff00,11086,Bolivia Oriental ||  Portal 80,1-6,ffffff,3
2,00ff00,11088,Bolivia Bochica II ||  Portal 80,1-10,ffffff,3
2,00ff00,11089,Bolivia Bochica II,1-10,ffffff,3
2,00ff00,12013,Villa Gloria ||  Portal Tunal,6-12,ffffff,3
2,00ff00,12014,Portal Tunal,6-12,ffffff,3
2,00ff00,12016,Villa Gloria,6-12,ffffff,3
2,00ff00,12017,San Joaquín  ||  Portal Tunal,6-7,ffffff,3
2,00ff00,12018,Portal Tunal,6-7,ffffff,3
2,00ff00,12019,San Joaquín,6-7,ffffff,3
2,00ff00,12282,Banderas,8-1,ffffff,3
2,00ff00,12304,Casablanca ||  Portal Américas,9-1,ffffff,3
2,00ff00,12325,Villa del Cerro ||  Portal 20 de Julio,13-10,ffffff,3
2,00ff00,12349,Arborizadora Alta ||  Portal Tunal,6-9,ffffff,3
2,00ff00,12350,Arborizadora Alta ||  Portal Tunal,6-9,ffffff,3
2,00ff00,12351,Arborizadora Alta ||  Portal Tunal,6-9,ffffff,3
2,00ff00,12352,Juan José Rondón ||  Portal Tunal,6-6,ffffff,3
2,00ff00,12353,Juan José Rondón ||  Portal Tunal,6-6,ffffff,3
2,00ff00,12354,Paraíso  ||  Portal Tunal,6-4,ffffff,3
2,00ff00,12355,Paraíso ||  Portal Tunal,6-4,ffffff,3
2,00ff00,12356,Paraíso ||  Portal Tunal,6-4,ffffff,3
2,00ff00,12357,Paraíso,6-4,ffffff,3
2,00ff00,12358,Paraíso,6-4,ffffff,3
2,00ff00,12360,Vista Hermosa ||  Portal Tunal,6-8,ffffff,3
2,00ff00,12361,Vista Hermosa ||  Portal Tunal,6-8,ffffff,3
2,00ff00,12362,Portal Tunal,6-8,ffffff,3
2,00ff00,12363,Vista Hermosa ||  Portal Tunal,6-8,ffffff,3
2,00ff00,12440,Villas del dorado ||  Portal 80,1-9,ffffff,3
2,00ff00,12551,Engativá Centro ||  Portal El Dorado,16-2,ffffff,3
2,00ff00,12552,Engativá Centro ||  208B05 Br. Marandú,16-2,ffffff,3
2,00ff00,12553,La Faena ||  Portal El Dorado,16-6,ffffff,3
2,00ff00,12554,La Faena ||  110A05 Br.Sabana del Dorado,16-6,ffffff,3
2,00ff00,12565,Portal Sur,9-3,ffffff,3
2,00ff00,12566,Bosa La Libertad,9-3,ffffff,3
2,00ff00,12567,Bosa La Libertad ||  Portal Sur,9-3,ffffff,3
2,00ff00,12802,Castilla ||  Estación Banderas,8-3,ffffff,3
2,00ff00,12806,San Antonio ||  Portal Norte,2-3,ffffff,3
2,00ff00,12807,San Antonio ||  Portal Norte,2-3,ffffff,3
2,00ff00,12808,San Antonio,2-3,ffffff,3
2,00ff00,12810,Biblioteca Tintal ||  Estación Banderas,8-5,ffffff,3
2,00ff00,12812,Biblioteca Tintal ||  Estación Banderas,8-5,ffffff,3
2,00ff00,12830,Andalucia ||  Portal Norte,2-11,ffffff,3
2,00ff00,12831,El Codito ||  Portal Norte,2-4,ffffff,3
2,00ff00,12832,El Codito,2-4,ffffff,3
2,00ff00,12836,Verbenal ||  Portal Norte,2-10,ffffff,3
2,00ff00,12837,Verbenal,2-10,ffffff,3
2,00ff00,12847,Expreso Oriental CL 170 ||  Portal Norte,2-8,ffffff,3
2,00ff00,12849,Portal Norte,2-5,ffffff,3
2,00ff00,12851,San Cristóbal Norte ||  Portal Norte,2-5,ffffff,3
2,00ff00,12858,Alban Carbonell ||  Portal Sur,10-3,ffffff,3
2,00ff00,12859,Alban Carbonell ||  Portal Sur,10-3,ffffff,3
2,00ff00,12860,Alban Carbonell,10-3,ffffff,3
2,00ff00,12886,Roma ||  Portal Amércias Ciclovía,9-10,ffffff,3
2,00ff00,12904,Franja Seca ||  Portal Americas,9-11,ffffff,3
2,00ff00,12911,Patio Bonito ||  Portal Américas,9-4,ffffff,3
